Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Profit Margin %,Order Year,Order Month,Order Quarter,Order Weekday,Factory,Factory Latitude,Factory Longitude,Customer Latitude,Customer Longitude,Distance to Lot's O' Nuts (KM),Distance to Wicked Choccy's (KM),Distance to Sugar Shack (KM),Distance to Secret Factory (KM),Distance to The Other Factory (KM),Nearest Factory,Nearest Factory Distance KM,Reallocation Needed
1,US-2021-103800-CHO-MIL-31000,2024-01-03,2026-06-30,Standard Class,103800,United States,Houston,Texas,77095,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92307692307692,2024,1,1,Wednesday,Wicked Choccy's,32.076176,-81.088371,29.8941,-95.6481,1564.09,1407.84,2027.04,1363.45,787.56,The Other Factory,787.56,True
2,US-2021-112326-CHO-TRI-54000,2024-01-04,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33333333333334,2024,1,1,Thursday,Wicked Choccy's,32.076176,-81.088371,41.7662,-88.141,2300.81,1245.52,947.36,204.69,756.23,Secret Factory,204.69,True
3,US-2021-112326-CHO-NUT-13000,2024-01-04,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,71.34670487106017,2024,1,1,Thursday,Lot's O' Nuts,32.881893,-111.768036,41.7662,-88.141,2300.81,1245.52,947.36,204.69,756.23,Secret Factory,204.69,True
4,US-2021-112326-CHO-SCR-58000,2024-01-04,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44444444444444,2024,1,1,Thursday,Lot's O' Nuts,32.881893,-111.768036,41.7662,-88.141,2300.81,1245.52,947.36,204.69,756.23,Secret Factory,204.69,True
5,US-2021-141817-CHO-TRI-54000,2024-01-05,2026-07-05,Standard Class,141817,United States,Philadelphia,Pennsylvania,19143,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2024,1,1,Friday,Wicked Choccy's,32.076176,-81.088371,39.9448,-75.2288,3337.89,1020.84,1896.99,1301.96,1404.22,Wicked Choccy's,1020.84,False
6,US-2021-167199-CHO-SCR-58000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,32.4,9,22.5,9.9,69.44444444444444,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,37.8274,-87.5632,2255.92,869.69,1340.16,477.44,370.31,The Other Factory,370.31,True
7,US-2021-167199-CHO-TRI-54000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33333333333334,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,37.8274,-87.5632,2255.92,869.69,1340.16,477.44,370.31,The Other Factory,370.31,True
8,US-2021-106054-CHO-MIL-31000,2024-01-06,2026-06-30,First Class,106054,United States,Athens,Georgia,30605,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92307692307693,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,33.9321,-83.3525,2631.8,295.22,1903.99,1048.41,620.37,Wicked Choccy's,295.22,False
9,US-2021-167199-CHO-NUT-13000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,71.34670487106017,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,37.8274,-87.5632,2255.92,869.69,1340.16,477.44,370.31,The Other Factory,370.31,True
10,US-2021-167199-CHO-MIL-31000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,64.92307692307692,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,37.8274,-87.5632,2255.92,869.69,1340.16,477.44,370.31,The Other Factory,370.31,True
11,US-2021-167199-CHO-MIL-31000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,64.92307692307692,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,37.8274,-87.5632,2255.92,869.69,1340.16,477.44,370.31,The Other Factory,370.31,True
12,US-2021-130813-CHO-MIL-31000,2024-01-06,2026-07-01,Second Class,130813,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92307692307693,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,34.066,-118.474,635.64,3471.34,2419.75,2573.86,2602.82,Lot's O' Nuts,635.64,True
