Country/Region,State/Province,City,Postal Code,Region,Customer Latitude,Customer Longitude,Distance to Lot's O' Nuts (KM),Distance to Wicked Choccy's (KM),Distance to Sugar Shack (KM),Distance to Secret Factory (KM),Distance to The Other Factory (KM),Nearest Factory,Nearest Factory Distance KM
United States,Texas,Houston,77095,Interior,29.8941,-95.6481,1564.09,1407.84,2027.04,1363.45,787.56,The Other Factory,787.56
United States,Illinois,Naperville,60540,Interior,41.7662,-88.141,2300.81,1245.52,947.36,204.69,756.23,Secret Factory,204.69
United States,Pennsylvania,Philadelphia,19143,Atlantic,39.9448,-75.2288,3337.89,1020.84,1896.99,1301.96,1404.22,Wicked Choccy's,1020.84
United States,Kentucky,Henderson,42420,Gulf,37.8274,-87.5632,2255.92,869.69,1340.16,477.44,370.31,The Other Factory,370.31
United States,Georgia,Athens,30605,Gulf,33.9321,-83.3525,2631.8,295.22,1903.99,1048.41,620.37,Wicked Choccy's,295.22
United States,California,Los Angeles,90049,Pacific,34.066,-118.474,635.64,3471.34,2419.75,2573.86,2602.82,Lot's O' Nuts,635.64
United States,Texas,Huntsville,77340,Interior,30.6448,-95.5798,1548.93,1384.08,1943.73,1282.27,722.0,The Other Factory,722.0
United States,Texas,Laredo,78041,Interior,27.5569,-99.4907,1318.64,1842.41,2304.26,1745.23,1233.36,The Other Factory,1233.36
United States,Virginia,Springfield,22153,Gulf,38.7449,-77.237,3161.63,819.35,1843.14,1171.51,1200.31,Wicked Choccy's,819.35
United States,Delaware,Dover,19901,Atlantic,39.1564,-75.4955,3312.96,935.16,1931.01,1301.32,1357.64,Wicked Choccy's,935.16
United States,California,San Francisco,94109,Pacific,37.7917,-122.4186,1108.64,3789.7,2407.54,2742.66,2902.62,Lot's O' Nuts,1108.64
United States,South Carolina,Mount Pleasant,29464,Gulf,32.8473,-79.8206,2972.23,146.63,2180.95,1347.45,968.85,Wicked Choccy's,146.63
United States,Ohio,Newark,43055,Atlantic,40.0724,-82.4046,2730.22,896.94,1414.4,703.83,864.27,Secret Factory,703.83
United States,Louisiana,Bossier City,71111,Gulf,32.5449,-93.7038,1688.4,1186.02,1744.21,1028.08,447.93,The Other Factory,447.93
United States,Pennsylvania,Philadelphia,19140,Atlantic,40.0118,-75.1456,3345.23,1030.94,1898.45,1307.32,1413.25,Wicked Choccy's,1030.94
United States,Georgia,Roswell,30076,Gulf,34.0213,-84.3104,2542.94,370.05,1851.95,991.43,532.36,Wicked Choccy's,370.05
United States,Pennsylvania,Philadelphia,19134,Atlantic,39.9925,-75.1133,3347.91,1030.65,1901.93,1310.46,1415.21,Wicked Choccy's,1030.65
United States,Oregon,Springfield,97477,Pacific,44.0611,-123.0153,1579.22,3856.47,2106.51,2648.08,2977.48,Lot's O' Nuts,1579.22
United States,Arizona,Scottsdale,85254,Pacific,33.6165,-111.9554,83.52,2877.98,2079.56,2069.97,2020.6,Lot's O' Nuts,83.52
United States,Arkansas,Jonesboro,72401,Gulf,35.833,-90.6965,1957.94,979.09,1438.46,624.28,103.17,The Other Factory,103.17
United States,Michigan,Westland,48185,Interior,42.3358,-83.3846,2696.02,1158.67,1188.4,602.38,984.52,Secret Factory,602.38
United States,Tennessee,Smyrna,37167,Gulf,35.9656,-86.5048,2335.76,660.26,1567.12,703.75,327.48,The Other Factory,327.48
United States,Florida,Miami,33180,Gulf,25.9597,-80.1403,3145.65,686.33,2832.77,1970.12,1385.26,Wicked Choccy's,686.33
Canada,Ontario,Toronto,M7A,Atlantic,43.6641,-79.3889,3045.68,1297.04,1387.29,947.26,1313.22,Secret Factory,947.26
United States,Indiana,Lafayette,47905,Interior,40.4001,-86.8602,2364.47,1059.88,1133.09,332.3,647.82,Secret Factory,332.3
United States,Nevada,Las Vegas,89115,Pacific,36.2158,-115.0671,478.17,3144.4,2033.33,2192.3,2264.08,Lot's O' Nuts,478.17
United States,South Dakota,Rapid City,57701,Interior,44.1415,-103.2052,1455.0,2342.44,698.51,1072.74,1510.28,Sugar Shack,698.51
United States,Virginia,Alexandria,22304,Gulf,38.8149,-77.121,3171.84,830.81,1845.75,1178.51,1212.1,Wicked Choccy's,830.81
United States,California,San Diego,92037,Pacific,32.8455,-117.2521,512.17,3377.3,2446.4,2538.4,2520.21,Lot's O' Nuts,512.17
United States,New York,New York City,10024,Atlantic,40.7864,-73.9764,3447.55,1157.86,1932.75,1389.5,1534.52,Wicked Choccy's,1157.86
United States,Michigan,Detroit,48234,Interior,42.4337,-83.0434,2725.81,1164.53,1204.39,631.56,1010.38,Secret Factory,631.56
