Country/Region,State/Province,City,Postal Code,Region,Customer Latitude,Customer Longitude
United States,Texas,Houston,77095,Interior,29.8941,-95.6481
United States,Illinois,Naperville,60540,Interior,41.7662,-88.141
United States,Pennsylvania,Philadelphia,19143,Atlantic,39.9448,-75.2288
United States,Kentucky,Henderson,42420,Gulf,37.8274,-87.5632
United States,Georgia,Athens,30605,Gulf,33.9321,-83.3525
United States,California,Los Angeles,90049,Pacific,34.066,-118.474
United States,Texas,Huntsville,77340,Interior,30.6448,-95.5798
United States,Texas,Laredo,78041,Interior,27.5569,-99.4907
United States,Virginia,Springfield,22153,Gulf,38.7449,-77.237
United States,Delaware,Dover,19901,Atlantic,39.1564,-75.4955
United States,California,San Francisco,94109,Pacific,37.7917,-122.4186
United States,South Carolina,Mount Pleasant,29464,Gulf,32.8473,-79.8206
United States,Ohio,Newark,43055,Atlantic,40.0724,-82.4046
United States,Louisiana,Bossier City,71111,Gulf,32.5449,-93.7038
United States,Pennsylvania,Philadelphia,19140,Atlantic,40.0118,-75.1456
United States,Georgia,Roswell,30076,Gulf,34.0213,-84.3104
United States,Pennsylvania,Philadelphia,19134,Atlantic,39.9925,-75.1133
United States,Oregon,Springfield,97477,Pacific,44.0611,-123.0153
United States,Arizona,Scottsdale,85254,Pacific,33.6165,-111.9554
United States,Arkansas,Jonesboro,72401,Gulf,35.833,-90.6965
United States,Michigan,Westland,48185,Interior,42.3358,-83.3846
United States,Tennessee,Smyrna,37167,Gulf,35.9656,-86.5048
United States,Florida,Miami,33180,Gulf,25.9597,-80.1403
Canada,Ontario,Toronto,M7A,Atlantic,43.6641,-79.3889
United States,Indiana,Lafayette,47905,Interior,40.4001,-86.8602
United States,Nevada,Las Vegas,89115,Pacific,36.2158,-115.0671
United States,South Dakota,Rapid City,57701,Interior,44.1415,-103.2052
United States,Virginia,Alexandria,22304,Gulf,38.8149,-77.121
United States,California,San Diego,92037,Pacific,32.8455,-117.2521
United States,New York,New York City,10024,Atlantic,40.7864,-73.9764
United States,Michigan,Detroit,48234,Interior,42.4337,-83.0434
United States,California,Mission Viejo,92691,Pacific,33.6128,-117.6622
United States,Wisconsin,Green Bay,54302,Interior,44.5025,-87.9771
United States,Florida,Saint Petersburg,33710,Gulf,27.7898,-82.7243
United States,Washington,Seattle,98105,Pacific,47.6633,-122.3022
United States,California,Escondido,92025,Pacific,33.1101,-117.07
United States,California,San Diego,92024,Pacific,33.0535,-117.2689
United States,Illinois,Romeoville,60441,Interior,41.593,-88.0507
United States,Virginia,Chesapeake,23320,Gulf,36.7352,-76.2384
United States,New Jersey,Linden,7036,Atlantic,40.6354,-74.2556
United States,Nevada,North Las Vegas,89031,Pacific,36.2589,-115.1718
United States,Missouri,Columbia,65203,Interior,38.9348,-92.3639
United States,California,Concord,94521,Pacific,37.9575,-121.975
United States,Washington,Seattle,98103,Pacific,47.6733,-122.3426
United States,Texas,Dallas,75220,Interior,32.8681,-96.8622
United States,Illinois,Chicago,60653,Interior,41.8196,-87.6126
United States,Texas,Lubbock,79424,Interior,33.5159,-101.9344
United States,Texas,Arlington,76017,Interior,32.6555,-97.1599
United States,Indiana,Richmond,47374,Interior,39.8324,-84.8936
United States,Illinois,Woodstock,60098,Interior,42.3198,-88.4477
