Country/Region,State/Province,City,Postal Code,Region,Customer Latitude,Customer Longitude
Canada,Ontario,Toronto,00M7A,Atlantic,,
Canada,Alberta,Calgary,00T2C,Pacific,,
Canada,Ontario,Toronto,00M3C,Atlantic,,
Canada,British Columbia,Vancouver,00V6Z,Pacific,,
Canada,Quebec,Montreal,00H1A,Atlantic,,
Canada,Nova Scotia,Halifax,00B3H,Atlantic,,
Canada,Ontario,Toronto,00M5H,Atlantic,,
Canada,Quebec,Montreal,00H1B,Atlantic,,
Canada,Quebec,Montreal,00H1C,Atlantic,,
Canada,Ontario,Toronto,00M2N,Atlantic,,
Canada,Alberta,Calgary,00T1Y,Pacific,,
Canada,Alberta,Edmonton,00T5A,Pacific,,
Canada,British Columbia,Vancouver,00V6G,Pacific,,
Canada,Newfoundland and Labrador,St. John's,00A0A,Atlantic,,
Canada,New Brunswick,Moncton,00E1A,Atlantic,,
Canada,British Columbia,Vancouver,00V6B,Pacific,,
Canada,British Columbia,Vancouver,00V5K,Pacific,,
Canada,Quebec,Quebec City,00G1B,Atlantic,,
Canada,Prince Edward Island,Charlottetown,00C0A,Atlantic,,
Canada,British Columbia,Vancouver,00V6E,Pacific,,
Canada,Manitoba,Winnipeg,00R0H,Interior,,
Canada,Saskatchewan,Regina,00S0G,Pacific,,
Canada,Manitoba,Winnipeg,00R3R,Interior,,
