Product Name,Region,Sales,Profit,Units,Cluster
Everlasting Gobstopper,Gulf,40.0,32.0,4,0
Everlasting Gobstopper,Interior,30.0,24.0,3,0
Everlasting Gobstopper,Pacific,60.0,48.0,6,0
Fizzy Lifting Drinks,Atlantic,33.75,20.25,9,0
Fizzy Lifting Drinks,Gulf,15.0,9.0,4,0
Fizzy Lifting Drinks,Interior,18.75,11.25,5,0
Fizzy Lifting Drinks,Pacific,11.25,6.75,3,0
Fun Dip,Atlantic,6.0,2.4,4,0
Fun Dip,Gulf,1.5,0.6,1,0
Fun Dip,Interior,4.5,1.8,3,0
Hair Toffee,Atlantic,22.5,17.5,5,0
Hair Toffee,Gulf,9.0,7.0,2,0
Hair Toffee,Pacific,45.0,35.0,10,0
Kazookles,Atlantic,484.25,37.25,149,0
Kazookles,Gulf,253.5,19.5,78,0
Kazookles,Interior,126.75,9.75,39,0
Kazookles,Pacific,341.25,26.25,105,0
Laffy Taffy,Atlantic,27.86,17.36,14,0
Laffy Taffy,Gulf,21.89,13.64,11,0
Laffy Taffy,Interior,1.99,1.24,1,0
Laffy Taffy,Pacific,1.99,1.24,1,0
Lickable Wallpaper,Atlantic,2780.0,1390.0,139,0
Lickable Wallpaper,Gulf,740.0,370.0,37,0
Lickable Wallpaper,Interior,1420.0,710.0,71,0
Lickable Wallpaper,Pacific,2920.0,1460.0,146,0
Nerds,Atlantic,15.0,7.0,10,0
SweeTARTS,Atlantic,36.0,16.8,24,0
SweeTARTS,Interior,19.5,9.1,13,0
SweeTARTS,Pacific,6.0,2.8,4,0
Wonka Bar - Fudge Mallows,Atlantic,7228.8,4819.2,2008,1
Wonka Bar - Fudge Mallows,Gulf,3895.2000000000003,2596.8,1082,2
Wonka Bar - Fudge Mallows,Interior,5742.0,3828.0,1595,2
Wonka Bar - Fudge Mallows,Pacific,8024.400000000001,5349.6,2229,1
Wonka Bar - Milk Chocolate,Atlantic,7592.0,4928.96,2336,1
Wonka Bar - Milk Chocolate,Gulf,4407.0,2861.16,1356,2
Wonka Bar - Milk Chocolate,Interior,6074.25,3943.59,1869,2
Wonka Bar - Milk Chocolate,Pacific,8794.5,5709.66,2706,1
Wonka Bar - Nutty Crunch Surprise,Atlantic,6480.93,4623.93,1857,2
Wonka Bar - Nutty Crunch Surprise,Gulf,3797.1200000000003,2709.12,1088,2
Wonka Bar - Nutty Crunch Surprise,Interior,5912.06,4218.06,1694,2
Wonka Bar - Nutty Crunch Surprise,Pacific,7384.84,5268.84,2116,1
Wonka Bar - Triple Dazzle Caramel,Atlantic,7822.5,5110.7,2086,1
Wonka Bar - Triple Dazzle Caramel,Gulf,4586.25,2996.35,1223,2
Wonka Bar - Triple Dazzle Caramel,Interior,6345.0,4145.4,1692,2
Wonka Bar - Triple Dazzle Caramel,Pacific,9731.25,6357.75,2595,1
Wonka Bar -Scrumdiddlyumptious,Atlantic,8456.4,5872.5,2349,1
Wonka Bar -Scrumdiddlyumptious,Gulf,4330.8,3007.5,1203,2
Wonka Bar -Scrumdiddlyumptious,Interior,6202.8,4307.5,1723,2
Wonka Bar -Scrumdiddlyumptious,Pacific,8884.8,6170.0,2468,1
Wonka Gum,Atlantic,211.25,109.85,169,0
Wonka Gum,Gulf,150.0,78.0,120,0
Wonka Gum,Interior,140.0,72.8,112,0
Wonka Gum,Pacific,96.25,50.05,77,0
